    交易日期    |    交易方向    |   股票代码    |   成交均价   |   成交数量   |   手续费   
---------------------------------------------------------------------------
[2020-08-04]  卖出 (SELL)  | 000725.SZ | ¥   4.82 |   -26314 股 | ¥190.2502
[2020-08-04]  卖出 (SELL)  | 600839.SH | ¥   3.12 |   -40282 股 | ¥188.5198
[2020-08-04]  卖出 (SELL)  | 002142.SZ | ¥  29.37 |    -4091 股 | ¥180.2290
[2020-08-04]  卖出 (SELL)  | 002281.SZ | ¥  33.30 |    -3690 股 | ¥184.3155
[2020-08-04]  卖出 (SELL)  | 002050.SZ | ¥  24.20 |     -426 股 | ¥15.4638
[2020-08-04]  买入 (BUY)   | 600009.SH | ¥  68.61 |       50 股 | ¥5.1457
[2020-08-04]  买入 (BUY)   | 688599.SH | ¥  17.78 |     6976 股 | ¥186.0499
[2020-08-04]  买入 (BUY)   | 300433.SZ | ¥  34.38 |     3574 股 | ¥184.3112
[2020-08-04]  买入 (BUY)   | 300207.SZ | ¥  24.12 |     5120 股 | ¥185.2416
[2020-08-04]  买入 (BUY)   | 600028.SH | ¥   4.01 |     1340 股 | ¥8.0601
[2020-08-04]  买入 (BUY)   | 601088.SH | ¥  15.65 |      320 股 | ¥7.5120
[2020-08-04]  买入 (BUY)   | 600048.SH | ¥  15.90 |      167 股 | ¥3.9830
[2020-08-04]  卖出 (SELL)  | 000799.SZ | ¥  69.50 |      -11 股 | ¥1.1468
[2020-08-04]  买入 (BUY)   | 002475.SZ | ¥  58.39 |     2076 股 | ¥181.8265
[2020-08-11]  卖出 (SELL)  | 600048.SH | ¥  16.31 |    -7745 股 | ¥189.4814
[2020-08-11]  卖出 (SELL)  | 000799.SZ | ¥  66.18 |    -1772 股 | ¥175.9064
[2020-08-11]  卖出 (SELL)  | 300207.SZ | ¥  24.92 |    -5120 股 | ¥191.3856
[2020-08-11]  卖出 (SELL)  | 600028.SH | ¥   4.01 |    -1167 股 | ¥7.0195
[2020-08-11]  卖出 (SELL)  | 601088.SH | ¥  15.48 |     -254 股 | ¥5.8979
[2020-08-11]  买入 (BUY)   | 000002.SZ | ¥  27.92 |     4244 股 | ¥177.7387
[2020-08-11]  卖出 (SELL)  | 600009.SH | ¥  68.88 |      -75 股 | ¥7.7490
[2020-08-11]  买入 (BUY)   | 002050.SZ | ¥  22.60 |      188 股 | ¥6.3732
[2020-08-11]  买入 (BUY)   | 688599.SH | ¥  16.71 |       99 股 | ¥2.4814
[2020-08-11]  买入 (BUY)   | 002475.SZ | ¥  52.00 |      175 股 | ¥13.6500
[2020-08-11]  买入 (BUY)   | 300433.SZ | ¥  29.80 |      424 股 | ¥18.9528
[2020-08-11]  买入 (BUY)   | 601225.SH | ¥   7.78 |    15190 股 | ¥177.2673
[2020-08-11]  买入 (BUY)   | 601398.SH | ¥   4.98 |    23652 股 | ¥176.6804
[2020-08-18]  卖出 (SELL)  | 601398.SH | ¥   5.09 |   -23652 股 | ¥180.5830
[2020-08-18]  卖出 (SELL)  | 002050.SZ | ¥  22.64 |    -5271 股 | ¥179.0032
[2020-08-18]  卖出 (SELL)  | 601225.SH | ¥   8.00 |   -15190 股 | ¥182.2800
[2020-08-18]  卖出 (SELL)  | 600009.SH | ¥  74.37 |    -1725 股 | ¥192.4324
[2020-08-18]  买入 (BUY)   | 688599.SH | ¥  16.52 |      260 股 | ¥6.4428
[2020-08-18]  买入 (BUY)   | 300498.SZ | ¥  24.25 |     5016 股 | ¥182.4570
[2020-08-18]  买入 (BUY)   | 600028.SH | ¥   4.07 |      323 股 | ¥1.9719
[2020-08-18]  买入 (BUY)   | 002475.SZ | ¥  53.42 |        2 股 | ¥0.1603
[2020-08-18]  卖出 (SELL)  | 300433.SZ | ¥  32.00 |     -140 股 | ¥6.7200
